"","alpha","beta"
"1",0.510785762240999,2.54777574782824
"2",0.570632122446373,2.65957887471463
"3",0.686165965882905,2.11795908700726
"4",0.790804357427249,2.03059311069113
"5",0.675931505998339,2.13220860097784
"6",0.623456713713817,2.16810508943653
"7",0.594842107085365,2.30952683878833
"8",0.689380391485338,2.37303585848714
"9",0.612966598260164,2.37298475403972
"10",0.750788725979678,2.13672427858469
"11",0.757886742850196,2.23571186311204
"12",0.700822223848314,2.34746579512223
"13",0.765297952874465,2.34057922463444
"14",0.709865395941775,2.12407125308694
"15",0.566248260503692,2.39930013165326
"16",0.517647671283598,2.35283881828104
"17",0.742472301167616,2.11516317319665
"18",0.674652414111965,2.14648735284914
"19",0.643525750405332,2.35433204719227
"20",0.555129153738406,2.61754652200551
"21",0.634686229402476,2.37193196863103
"22",0.551320362473108,2.32100983129303
"23",0.587036003879267,2.44509513622766
"24",0.590239599791088,2.37067080963619
"25",0.500882706802833,2.5688532624691
"26",0.665690196861534,2.3316482918339
"27",0.541305706930656,2.52056862817389
"28",0.806641228406725,2.04781462678021
"29",0.678711507268524,1.88476102884049
"30",0.714009754482852,2.4061988127817
"31",0.582218619178613,2.50444103121072
"32",0.583892051551864,2.29589555934127
"33",0.59600609711413,2.19188114005327
"34",0.649378541316589,2.59544169280741
"35",0.619348471895085,2.21815014116308
"36",0.591631983368561,2.38136361955665
"37",0.594803361500922,2.44130385035857
"38",0.727123777364789,2.13732597791418
"39",0.650770928402213,2.47219263887307
"40",0.613657055208875,2.45791771661738
"41",0.677854847511663,2.24233789750685
"42",0.653033144386957,2.20225137956333
"43",0.546903243444919,2.52863205753085
"44",0.595537853700858,2.27525033813199
"45",0.597382193720062,2.45143677771524
"46",0.501443040226394,2.33812414834525
"47",0.837474506815757,1.96426151673769
"48",0.872349999979057,1.92800413508893
"49",0.718650663370293,2.35068903730724
"50",0.640545653309572,2.43085675371262
"51",0.688206168424439,2.27918179958375
"52",0.608054660097858,2.33980311087321
"53",0.54707578041004,2.2601045680414
"54",0.474787211020076,2.65428786833994
"55",0.556345266685489,2.43914494872138
"56",0.551817701227278,2.58405219397478
"57",0.557769405684439,2.30737743695409
"58",0.650654463046262,2.19303362931902
"59",0.558249738019327,2.36836477208731
"60",0.639002314308568,2.36482025994901
"61",0.759866220312088,2.1853383683257
"62",0.711569293931078,2.08177571769831
"63",0.707137395622172,2.05410940265733
"64",0.551781203050921,2.56188851694032
"65",0.677827659949168,2.38365160370813
"66",0.648132540493863,2.48395369095716
"67",0.602082441467734,2.61784910318216
"68",0.54047278338137,2.47342072543434
"69",0.551877996254332,2.48274492549847
"70",0.449020595522904,2.76896601687256
"71",0.560948643589382,2.25520395775028
"72",0.572965408937406,2.07051552169022
"73",0.780625825420505,2.00710113482266
"74",0.93359098093829,1.81900275925688
"75",0.855366691518334,2.09686389500178
"76",0.574939625642797,2.19559263011832
"77",0.709745514504647,2.20743012057431
"78",0.734353107840167,1.96519812453071
"79",0.628915798747043,2.37195411215121
"80",0.581802241675543,2.65662847646627
"81",0.497666257945185,2.61118146293252
"82",0.643971684992365,2.16202982694987
"83",0.729056887727919,2.17790607628308
"84",0.541428540510822,2.50682740994571
"85",0.560974882288555,2.43001562739596
"86",0.582201180030218,2.61681330487902
"87",0.567852091049228,2.40199094809148
"88",0.668332747198955,2.21737031163943
"89",0.623845375028046,2.4710684868735
"90",0.720038965043352,2.01223834436767
"91",0.612804486794419,2.39739606216227
"92",0.574850060974092,2.34286756620379
"93",0.631623147219964,2.15431756678208
"94",0.681670067419053,2.17254513821025
"95",0.683548708956736,2.2536399274721
"96",0.600830605197075,2.40198239869081
"97",0.759687843322601,2.25170937277018
"98",0.639645978421859,2.22831447202807
"99",0.657629746439283,2.01959059684776
"100",0.670867164602554,2.12269941422178
"101",0.704589582071731,2.09944188673029
"102",0.602268063398914,2.45913045822799
"103",0.522399936357297,2.55550999897265
"104",0.513414359859904,2.54510801951201
"105",0.626385245367166,2.33962776793442
"106",0.664673379966668,2.39153782030955
"107",0.489122273919524,2.7286562434807
"108",0.480375946334941,2.72445670703194
"109",0.592452638025046,2.47644290946038
"110",0.594414156160731,2.34546988194993
"111",0.629376720287991,2.20246415195153
"112",0.663271550179618,2.32075820549788
"113",0.648239290695061,2.5395116499417
"114",0.470523894249303,2.45150512399646
"115",0.582355886862024,2.55508517780481
"116",0.697788975138057,2.50042558431644
"117",0.558423274966297,2.37084359187186
"118",0.418839690214795,2.62569542483389
"119",0.4869634011905,2.61324378652804
"120",0.551362897780794,2.55032245672057
"121",0.693926348183431,2.30625587514976
"122",0.708233063892861,2.32241146563361
"123",0.714755039651481,2.3349131438782
"124",0.642754286193165,2.43386925223605
"125",0.667999916167152,2.38037086455898
"126",0.686770354664246,2.20274322902157
"127",0.607119351446134,2.34416904097579
